Arrest Date,Time,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Disposition Description,Address,Cross Street,LAT,LON,Booking Date,Booking Time,Booking Location,Booking Location Code
2022 May 10 12:00:00 AM,0015,0164,29,F,W,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,DISTRICT ATTORNEY REJECT,100 W  7TH                          ST,,34.0446,-118.2507,2022 May 10 12:00:00 AM,0703,METRO - JAIL DIVISION,4273
2022 Mar 19 12:00:00 AM,0930,0157,61,F,B,04,Aggravated Assault,F,244PC,ASSAULT W/CAUSTIC CHEMICALS,OTHER (REQUIRES ADDITION ACTION),700 E  6TH                          ST,,34.0412,-118.2436,2022 Mar 19 12:00:00 AM,1210,METRO - JAIL DIVISION,4273
2023 Aug 17 12:00:00 AM,2240,0133,27,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,200 S  BROADWAY,,34.0524,-118.2467,2023 Aug 18 12:00:00 AM,0132,METRO - JAIL DIVISION,4273
2020 Feb 11 12:00:00 AM,0800,0134,52,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 S  SPRING                       ST,,34.0502,-118.2487,2020 Feb 11 12:00:00 AM,1338,METRO - JAIL DIVISION,4273
2020 Mar 15 12:00:00 AM,1940,0134,37,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 S  BROADWAY,,34.051,-118.248,2020 Mar 15 12:00:00 AM,2059,METRO - JAIL DIVISION,4273
2022 Sep 02 12:00:00 AM,0355,0134,48,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 W  3RD                          ST,,34.051,-118.248,2022 Sep 02 12:00:00 AM,0557,METRO - JAIL DIVISION,4273
2022 Sep 05 12:00:00 AM,2325,0134,48,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 W  3RD                          ST,,34.051,-118.248,2022 Sep 06 12:00:00 AM,0526,METRO - JAIL DIVISION,4273
2020 Sep 08 12:00:00 AM,1545,0135,41,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,100 E  3RD                          ST,,34.0491,-118.2456,2020 Sep 08 12:00:00 AM,1732,METRO - JAIL DIVISION,4273
2021 Feb 12 12:00:00 AM,0935,0135,42,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,100 E  3RD                          ST,,34.0491,-118.2456,2021 Feb 12 12:00:00 AM,1105,METRO - JAIL DIVISION,4273
2021 Apr 28 12:00:00 AM,1425,0135,42,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,100 E  3RD                          ST,,34.0491,-118.2456,2021 Apr 28 12:00:00 AM,1749,METRO - JAIL DIVISION,4273
2022 Feb 25 12:00:00 AM,1306,0135,43,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,4TH                          ST,LOS ANGELES                  ST,34.0473,-118.2462,2022 Feb 25 12:00:00 AM,1620,METRO - JAIL DIVISION,4273
2022 Jul 22 12:00:00 AM,1700,0135,63,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,100 E  3RD                          ST,,34.0495,-118.2459,2022 Jul 22 12:00:00 AM,2247,METRO - JAIL DIVISION,4273
2024 Apr 16 12:00:00 AM,0655,0135,53,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,6TH                          ST,SAN PEDRO,34.0495,-118.2458,2024 Apr 16 12:00:00 AM,1113,METRO - JAIL DIVISION,4273
2025 Jan 02 12:00:00 AM,0740,0135,56,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,200 E  6TH                          ST,,34.0495,-118.2458,2025 Jan 02 12:00:00 AM,1020,METRO - JAIL DIVISION,4273
2021 Jan 24 12:00:00 AM,1425,0138,32,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,200    BOYD                         ST,,34.0476,-118.2449,2021 Jan 24 12:00:00 AM,1602,METRO - JAIL DIVISION,4273
2021 Apr 27 12:00:00 AM,1050,0138,57,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,200    BOYD                         ST,,34.0476,-118.2449,2021 Apr 27 12:00:00 AM,1253,METRO - JAIL DIVISION,4273
2022 Jul 20 12:00:00 AM,0330,0138,30,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,SAN PEDRO,4TH,34.0459,-118.243,2022 Jul 20 12:00:00 AM,0510,METRO - JAIL DIVISION,4273
2023 Apr 22 12:00:00 AM,0136,0138,43,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,200 S  LOS ANGELES                  ST,,34.0503,-118.2434,2023 Apr 22 12:00:00 AM,0328,METRO - JAIL DIVISION,4273
2023 Aug 12 12:00:00 AM,1015,0138,60,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",MISDEMEANOR COMPLAINT FILED,200    BOYD                         ST,,34.0479,-118.2454,2023 Aug 12 12:00:00 AM,1226,METRO - JAIL DIVISION,4273
2024 Jun 15 12:00:00 AM,1500,0138,33,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,SAN PEDRO,4TH                          ST,34.0459,-118.243,2024 Jun 15 12:00:00 AM,1737,METRO - JAIL DIVISION,4273
2024 Aug 31 12:00:00 AM,1215,0138,56,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,BOYD,WALL,34.0476,-118.2443,2024 Aug 31 12:00:00 AM,1403,METRO - JAIL DIVISION,4273
2020 Jun 16 12:00:00 AM,1130,0143,43,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,5TH                          ST,S  BROADWAY,34.0481,-118.2507,2020 Jun 16 12:00:00 AM,1400,METRO - JAIL DIVISION,4273
2021 Mar 14 12:00:00 AM,2100,0143,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,5TH                          ST,BROADWAY,34.0481,-118.2507,2021 Mar 14 12:00:00 AM,2243,METRO - JAIL DIVISION,4273
2024 Dec 11 12:00:00 AM,2230,0143,29,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,5TH                          ST,SPRING                       ST,34.0474,-118.2496,2024 Dec 12 12:00:00 AM,0137,METRO - JAIL DIVISION,4273
2025 Mar 15 12:00:00 AM,1820,0144,19,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,400 S  MAIN                         ST,,34.0478,-118.2484,2025 Mar 15 12:00:00 AM,2040,METRO - JAIL DIVISION,4273
2021 Sep 25 12:00:00 AM,1928,0145,43,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,100 E  5TH                          ST,,34.0471,-118.2474,2021 Sep 25 12:00:00 AM,2116,METRO - JAIL DIVISION,4273
2023 Nov 11 12:00:00 AM,1145,0145,65,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,5TH                          ST,LOS ANGELES                  ST,34.0461,-118.2475,2023 Nov 11 12:00:00 AM,1424,METRO - JAIL DIVISION,4273
2023 Sep 13 12:00:00 AM,1110,0146,65,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,WINSTON                      AV,LOS ANGELES                  ST,34.0463,-118.2467,2023 Sep 13 12:00:00 AM,1353,METRO - JAIL DIVISION,4273
2020 May 15 12:00:00 AM,0550,0147,44,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 E  5TH                          ST,,34.0453,-118.2443,2020 May 15 12:00:00 AM,1013,METRO - JAIL DIVISION,4273
2021 Mar 28 12:00:00 AM,1300,0147,27,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,5TH                          ST,CROCKER,34.0453,-118.2443,2021 Mar 28 12:00:00 AM,1435,METRO - JAIL DIVISION,4273
2022 Apr 17 12:00:00 AM,1030,0147,41,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,300 E  5TH                          ST,,34.0453,-118.2443,2022 Apr 17 12:00:00 AM,1205,METRO - JAIL DIVISION,4273
2022 May 30 12:00:00 AM,1735,0147,55,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",OTHER (REQUIRES ADDITION ACTION),5TH,SAN PEDRO,34.0442,-118.2439,2022 May 30 12:00:00 AM,1918,METRO - JAIL DIVISION,4273
2021 Feb 24 12:00:00 AM,0725,0148,29,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,TOWNE,5TH,34.0434,-118.2417,2021 Feb 24 12:00:00 AM,0946,METRO - JAIL DIVISION,4273
2021 Dec 26 12:00:00 AM,1345,0148,30,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,400 S  SAN PEDRO                    ST,,34.0455,-118.2432,2021 Dec 26 12:00:00 AM,1702,METRO - JAIL DIVISION,4273
2024 Apr 08 12:00:00 AM,1015,0148,36,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,5TH                          ST,TOWNE,34.043,-118.242,2024 Apr 08 12:00:00 AM,1206,METRO - JAIL DIVISION,4273
2020 Apr 30 12:00:00 AM,2000,0153,38,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH                          ST,BROADWAY,34.0467,-118.252,2020 Apr 30 12:00:00 AM,2352,METRO - JAIL DIVISION,4273
2020 Jun 25 12:00:00 AM,1525,0153,47,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH,WALL                         ST,34.0467,-118.252,2020 Jun 25 12:00:00 AM,1727,METRO - JAIL DIVISION,4273
2021 May 18 12:00:00 AM,1735,0153,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,200 W  6TH                          ST,,34.046,-118.251,2021 May 18 12:00:00 AM,2002,METRO - JAIL DIVISION,4273
2021 Aug 11 12:00:00 AM,2010,0153,28,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",MISDEMEANOR COMPLAINT FILED,6TH                          ST,SPRING                       ST,34.0466,-118.252,2021 Aug 12 12:00:00 AM,0124,METRO - JAIL DIVISION,4273
2021 Nov 28 12:00:00 AM,2120,0153,28,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,300 W  5TH                          ST,,34.0481,-118.2507,2021 Nov 29 12:00:00 AM,0037,METRO - JAIL DIVISION,4273
2022 May 19 12:00:00 AM,0225,0153,24,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  SPRING                       ST,,34.0467,-118.252,2022 May 19 12:00:00 AM,0457,METRO - JAIL DIVISION,4273
2022 Oct 15 12:00:00 AM,1745,0153,52,F,H,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH,HILL                         ST,34.0473,-118.2531,2022 Oct 15 12:00:00 AM,2012,METRO - JAIL DIVISION,4273
2023 May 11 12:00:00 AM,0100,0153,61,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,6TH                          ST,SPRING                       ST,34.0466,-118.252,2023 May 11 12:00:00 AM,1035,METRO - JAIL DIVISION,4273
2023 May 30 12:00:00 AM,1845,0153,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  HILL                         ST,,34.0488,-118.2518,2023 May 31 12:00:00 AM,0229,METRO - JAIL DIVISION,4273
2025 Jan 24 12:00:00 AM,1305,0153,20,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,5TH,HILL,34.0488,-118.2518,2025 Jan 24 12:00:00 AM,1502,METRO - JAIL DIVISION,4273
2022 Jan 31 12:00:00 AM,2040,0154,39,F,O,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",MISDEMEANOR COMPLAINT FILED,500 S  LOS ANGELES                  ST,,34.046,-118.2493,2022 Jan 31 12:00:00 AM,2314,METRO - JAIL DIVISION,4273
2022 Apr 24 12:00:00 AM,0410,0154,45,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,100 W  5TH                          ST,,34.0467,-118.2485,2022 Apr 24 12:00:00 AM,0548,METRO - JAIL DIVISION,4273
2023 May 19 12:00:00 AM,2200,0154,43,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,100 E  5TH                          ST,,34.0467,-118.2485,2023 May 20 12:00:00 AM,0035,METRO - JAIL DIVISION,4273
2024 Jul 02 12:00:00 AM,1158,0154,40,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,100 W  5TH                          ST,,34.0467,-118.2485,2024 Jul 02 12:00:00 AM,1427,METRO - JAIL DIVISION,4273
2024 Sep 25 12:00:00 AM,1845,0154,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,100 W  5TH                          ST,,34.0467,-118.2485,2024 Sep 25 12:00:00 AM,2034,METRO - JAIL DIVISION,4273
2024 Oct 20 12:00:00 AM,1140,0154,35,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,6TH                          ST,LOS ANGELES                  ST,34.0453,-118.249,2024 Oct 20 12:00:00 AM,1519,77TH ST,4212
2020 Mar 29 12:00:00 AM,0650,0155,36,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,5TH                          ST,WALL                         ST,34.0449,-118.2458,2020 Mar 29 12:00:00 AM,0847,METRO - JAIL DIVISION,4273
2020 Dec 05 12:00:00 AM,1715,0155,30,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,5TH,MAPLE,34.0454,-118.2465,2020 Dec 05 12:00:00 AM,1924,METRO - JAIL DIVISION,4273
2023 Jul 16 12:00:00 AM,1347,0155,48,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",MISDEMEANOR COMPLAINT FILED,200 E  6TH                          ST,,34.0448,-118.2474,2023 Jul 16 12:00:00 AM,1602,METRO - JAIL DIVISION,4273
2023 Nov 09 12:00:00 AM,1505,0155,23,F,W,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,5TH,WALL,34.0449,-118.2458,2023 Nov 09 12:00:00 AM,1709,METRO - JAIL DIVISION,4273
2024 Apr 30 12:00:00 AM,1010,0155,25,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,200 E  6TH                          ST,,34.0448,-118.2474,2024 Apr 30 12:00:00 AM,1144,METRO - JAIL DIVISION,4273
2025 Mar 31 12:00:00 AM,1125,0155,28,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500    MAPLE                        AV,,34.0454,-118.2465,2025 Mar 31 12:00:00 AM,1356,METRO - JAIL DIVISION,4273
2020 Feb 13 12:00:00 AM,1255,0156,50,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH,SAN PEDRO,34.0423,-118.2452,2020 Feb 13 12:00:00 AM,1559,METRO - JAIL DIVISION,4273
2020 Mar 30 12:00:00 AM,0930,0156,24,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",CITY ATTORNEY REJECT,500    SAN JULIAN                   ST,,34.0446,-118.245,2020 Mar 30 12:00:00 AM,1219,METRO - JAIL DIVISION,4273
2020 May 07 12:00:00 AM,0900,0156,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500    WALL                         ST,,34.0449,-118.2458,2020 May 07 12:00:00 AM,1042,METRO - JAIL DIVISION,4273
2020 May 20 12:00:00 AM,1505,0156,62,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500    WALL                         ST,,34.0449,-118.2458,2020 May 20 12:00:00 AM,1706,METRO - JAIL DIVISION,4273
2020 May 21 12:00:00 AM,1415,0156,23,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2020 May 21 12:00:00 AM,1906,METRO - JAIL DIVISION,4273
2020 May 21 12:00:00 AM,1410,0156,49,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,SAN PEDRO                    ST,5TH                          ST,34.0442,-118.2439,2020 May 21 12:00:00 AM,1738,METRO - JAIL DIVISION,4273
2020 May 25 12:00:00 AM,2300,0156,54,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,500    SAN JULIAN                   ST,,34.0446,-118.245,2020 May 26 12:00:00 AM,0141,METRO - JAIL DIVISION,4273
2020 Jul 28 12:00:00 AM,1840,0156,63,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2020 Jul 28 12:00:00 AM,2135,METRO - JAIL DIVISION,4273
2020 Aug 28 12:00:00 AM,0935,0156,69,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH                          ST,SAN PEDRO,34.0429,-118.2462,2020 Aug 28 12:00:00 AM,1208,METRO - JAIL DIVISION,4273
2020 Oct 08 12:00:00 AM,1100,0156,41,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",MISDEMEANOR COMPLAINT FILED,5TH,SAN PEDRO,34.0444,-118.2443,2020 Oct 08 12:00:00 AM,1316,METRO - JAIL DIVISION,4273
2020 Nov 20 12:00:00 AM,1630,0156,33,F,O,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2020 Nov 20 12:00:00 AM,2013,METRO - JAIL DIVISION,4273
2020 Dec 14 12:00:00 AM,1320,0156,58,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2020 Dec 14 12:00:00 AM,1653,METRO - JAIL DIVISION,4273
2021 Mar 17 12:00:00 AM,1130,0156,29,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",849(B)(1) PC/TECHNICAL ARREST,5TH,SAN JULIAN,34.0446,-118.245,2021 Mar 17 12:00:00 AM,1243,METRO - JAIL DIVISION,4273
2021 Apr 04 12:00:00 AM,2010,0156,45,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,6TH                          ST,SAN PEDRO                    ST,34.0429,-118.2462,2021 Apr 04 12:00:00 AM,2312,METRO - JAIL DIVISION,4273
2021 Apr 16 12:00:00 AM,1740,0156,51,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2021 Apr 16 12:00:00 AM,2102,METRO - JAIL DIVISION,4273
2021 Jul 09 12:00:00 AM,0707,0156,61,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,5TH,SAN PEDRO,34.0444,-118.2443,2021 Jul 09 12:00:00 AM,0857,METRO - JAIL DIVISION,4273
2021 Jul 28 12:00:00 AM,1830,0156,40,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",OTHER (REQUIRES ADDITION ACTION),500    SAN JULIAN                   ST,,34.0429,-118.2462,2021 Jul 28 12:00:00 AM,2037,METRO - JAIL DIVISION,4273
2021 Sep 13 12:00:00 AM,2345,0156,41,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,500    SAN JULIAN                   ST,,34.0429,-118.2462,2021 Sep 14 12:00:00 AM,0215,METRO - JAIL DIVISION,4273
2022 Jan 29 12:00:00 AM,0720,0156,49,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",DISTRICT ATTORNEY REJECT,6TH                          ST,SAN PEDRO                    ST,34.0423,-118.2453,2022 Jan 29 12:00:00 AM,1105,METRO - JAIL DIVISION,4273
2022 Mar 13 12:00:00 AM,0805,0156,45,F,B,04,Aggravated Assault,F,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FELONY COMPLAINT FILED,5TH,SAN PEDRO,34.0442,-118.2439,2022 Mar 13 12:00:00 AM,1038,METRO - JAIL DIVISION,4273
